time,voltage1,voltage2,current1,current2,frequency,active_power
0,161.6925,165.3,0.13499999999999998,0.034999999999999996,60.0,1374388.3830400002
1,0.27375,0.27375,0.005,0.005,60.0,1374389.5344
2,0.26999999999999996,0.26625,0.005,0.005,93.912,1374389.5344
3,0.26999999999999996,0.26999999999999996,0.005,0.005,149.7,0.0
4,0.27375,0.27375,0.005,0.005,145.72799999999998,1374389.5344
5,0.27375,0.27375,0.005,0.005,148.98,1374389.5344
6,0.26625,0.26625,0.005,0.005,95.54400000000001,1374389.5344
7,0.26999999999999996,0.26999999999999996,0.005,0.005,137.316,1374389.5344
8,0.26999999999999996,0.26999999999999996,0.005,0.005,118.15199999999999,0.0
9,0.26999999999999996,0.26999999999999996,0.005,0.005,132.072,0.0
10,0.26999999999999996,0.26999999999999996,0.005,0.005,103.18799999999999,1374389.5344
11,0.26625,0.26625,0.005,0.005,141.24,1374389.5344
12,0.27375,0.27375,0.005,0.005,96.0,0.0
13,0.26999999999999996,0.26999999999999996,0.005,0.005,147.54,1374389.5344
14,0.26999999999999996,0.26999999999999996,0.005,0.005,79.416,1374389.5344
15,0.27375,0.27375,0.005,0.005,94.428,1374389.5344
16,0.26999999999999996,0.26999999999999996,0.005,0.005,96.24,0.0
17,0.27375,0.27375,0.005,0.005,105.70800000000001,1374389.5344
18,0.26999999999999996,0.26999999999999996,0.005,0.005,103.32,0.0
19,0.26999999999999996,0.26999999999999996,0.005,0.005,65.52,1374389.5344
20,0.26625,0.26999999999999996,0.005,0.005,146.976,0.0
21,0.26999999999999996,0.26999999999999996,0.005,0.005,101.85599999999998,1374389.5344
22,0.26625,0.26999999999999996,0.005,0.005,149.7,1374389.5344
23,0.26625,0.26625,0.005,0.005,128.16,0.0
24,0.26999999999999996,0.26625,0.005,0.005,98.016,0.0
25,0.26999999999999996,0.26999999999999996,0.005,0.005,85.02,1374389.5344
26,0.27375,0.27375,0.005,0.005,81.64800000000001,1374389.5344
27,0.26999999999999996,0.26999999999999996,0.005,0.005,144.216,0.0
28,0.26999999999999996,0.26999999999999996,0.005,0.005,104.34,0.0
29,0.26999999999999996,0.26999999999999996,0.005,0.005,133.21200000000002,0.0
30,0.26999999999999996,0.26999999999999996,0.005,0.005,145.512,1374389.5344
31,0.27375,0.27375,0.005,0.005,133.38,0.0
32,0.26999999999999996,0.27375,0.005,0.005,132.528,1374389.5344
33,0.26999999999999996,0.26999999999999996,0.005,0.005,142.08,0.0
34,0.26999999999999996,0.26999999999999996,0.005,0.005,88.95599999999999,0.0
35,0.26625,0.26625,0.005,0.005,93.192,0.0
36,0.26999999999999996,0.26999999999999996,0.005,0.005,146.77200000000002,0.0
37,0.26999999999999996,0.26999999999999996,0.005,0.005,116.928,1374389.5344
38,0.26999999999999996,0.26999999999999996,0.005,0.005,51.3,0.0
39,0.26999999999999996,0.26999999999999996,0.005,0.005,141.696,0.0
40,0.26999999999999996,0.26625,0.005,0.005,143.016,0.0
41,0.26625,0.26625,0.005,0.005,149.7,1374389.5344
42,0.26625,0.26625,0.005,0.005,96.78,1374389.5344
43,0.26625,0.26625,0.005,0.005,75.67200000000001,1374389.5344
44,0.26625,0.26625,0.005,0.005,146.004,0.0
45,0.26999999999999996,0.26999999999999996,0.005,0.005,131.16,0.0
46,0.2625,0.26625,0.005,0.005,79.236,0.0
47,0.26625,0.26999999999999996,0.005,0.005,137.196,1374389.5344
48,0.26625,0.26999999999999996,0.005,0.005,65.36399999999999,0.0
49,0.26625,0.26625,0.005,0.005,137.316,1374389.5344
50,0.26999999999999996,0.26999999999999996,0.005,0.005,114.192,0.0
51,0.26625,0.26999999999999996,0.005,0.005,144.9,0.0
52,0.26999999999999996,0.26999999999999996,0.005,0.005,95.016,0.0
53,0.26625,0.26625,0.005,0.005,132.348,1374389.5344
54,0.26625,0.26999999999999996,0.005,0.005,146.77200000000002,1374389.5344
55,0.26999999999999996,0.26999999999999996,0.005,0.005,149.7,0.0
56,0.26625,0.26625,0.005,0.005,78.6,1374389.5344
57,0.26625,0.26625,0.005,0.005,132.924,0.0
58,0.26999999999999996,0.26625,0.005,0.005,88.32,0.0
59,0.26999999999999996,0.26999999999999996,0.005,0.005,149.7,1374389.5344
